congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
113,House,21312,71,41,CA,100,0,1,"TAKANO, Mark",T000472,1960,,-0.474,-0.176,-137.23347,0.87388,1018,55,1.0
113,House,21313,71,47,CA,100,0,1,"LOWENTHAL, Alan",L000579,1941,,-0.442,-0.355,-89.63635,0.91499,1009,37,1.0
113,House,21314,71,51,CA,100,0,1,"VARGAS, Juan",V000130,1961,,-0.38,0.114,-148.66072,0.86173,999,66,1.0
113,House,21315,71,52,CA,100,0,1,"PETERS, Scott",P000608,1958,,-0.177,-0.066,-298.51239,0.74455,1012,144,1.0
113,House,29106,71,43,CA,100,0,1,"WATERS, Maxine",W000187,1938,,-0.66,-0.083,-126.09458,0.87703,961,52,1.0
113,House,29312,71,18,CA,100,0,1,"ESHOO, Anna Georges",E000215,1942,,-0.383,-0.425,-105.4682,0.89981,999,36,1.0
113,House,29313,71,20,CA,100,0,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-129.45034,0.877,985,50,
113,House,29315,71,25,CA,200,0,1,"McKEON, Howard P. (Buck)",M000508,1938,,0.396,0.208,-126.13141,0.88,983,56,
113,House,29316,71,34,CA,100,0,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-78.82904,0.92294,983,30,1.0
113,House,29317,71,40,CA,100,0,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.47,-0.204,-93.04111,0.91107,999,39,1.0
113,House,29321,71,39,CA,200,0,1,"ROYCE, Edward Randall",R000487,1951,,0.666,-0.366,-131.40366,0.87709,1002,52,1.0
113,House,29323,71,42,CA,200,0,1,"CALVERT, Ken",C000059,1953,,0.347,0.197,-90.38681,0.9144,1010,33,1.0
113,House,29504,71,19,CA,100,0,1,"LOFGREN, Zoe",L000397,1947,,-0.4,-0.455,-179.74984,0.83667,1008,69,1.0
113,House,29707,71,30,CA,100,0,1,"SHERMAN, Brad",S000344,1954,,-0.344,-0.147,-157.66723,0.85573,1012,59,1.0
113,House,29709,71,46,CA,100,0,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-205.52164,0.808,966,89,
113,House,29774,71,24,CA,100,0,1,"CAPPS, Lois",C001036,1938,,-0.389,-0.227,-124.611,0.884,1014,44,
113,House,29778,71,13,CA,100,0,1,"LEE, Barbara",L000551,1946,,-0.685,-0.642,-95.45487,0.90887,999,54,1.0
113,House,29901,71,5,CA,100,0,1,"THOMPSON, Michael",T000460,1951,,-0.395,0.065,-167.48798,0.84691,1008,90,1.0
113,House,29903,71,32,CA,100,0,1,"NAPOLITANO, Grace Flores",N000179,1936,,-0.446,-0.237,-104.35521,0.89909,981,50,1.0
113,House,29905,71,31,CA,200,0,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-81.82418,0.886,674,35,
113,House,20704,62,5,CO,200,0,1,"LAMBORN, Doug",L000564,1954,,0.69,0.196,-123.25009,0.88565,1015,43,1.0
113,House,20705,62,7,CO,100,0,1,"PERLMUTTER, Ed",P000593,1953,,-0.286,0.109,-227.99065,0.78996,967,90,1.0
113,House,20904,62,2,CO,100,0,1,"POLIS, Jared",P000598,1975,,-0.28,-0.675,-276.78279,0.74091,923,97,1.0
113,House,20906,62,6,CO,200,0,1,"COFFMAN, Mike",C001077,1955,,0.501,-0.207,-179.59605,0.83797,1016,90,1.0
113,House,21111,62,3,CO,200,0,1,"TIPTON, Scott",T000470,1956,,0.461,-0.046,-166.2604,0.84583,993,86,1.0
113,House,21112,62,4,CO,200,0,1,"GARDNER, Cory",G000562,1974,,0.456,0.002,-164.18311,0.84845,999,86,1.0
113,House,29710,62,1,CO,100,0,1,"DeGETTE, Diana",D000197,1957,,-0.435,-0.308,-86.08488,0.9144,962,29,1.0
113,House,20706,1,2,CT,100,0,1,"COURTNEY, Joe",C001069,1953,,-0.342,0.02,-155.14899,0.85629,1000,75,1.0
113,House,20907,1,4,CT,100,0,1,"HIMES, James A.",H001047,1966,,-0.241,-0.266,-185.25127,0.83136,1003,76,1.0
113,House,21316,1,5,CT,100,0,1,"ESTY, Elizabeth",E000293,1959,,-0.304,-0.128,-141.91513,0.86855,1007,68,1.0
113,House,29109,1,3,CT,100,0,1,"DeLAURO, Rosa L.",D000216,1943,,-0.418,-0.116,-101.23406,0.90242,986,41,1.0
113,House,29908,1,1,CT,100,0,1,"LARSON, John B.",L000557,1948,,-0.401,-0.063,-131.92036,0.87676,1003,46,1.0
113,House,21113,11,1,DE,100,0,1,"CARNEY, John C., Jr.",C001083,1956,,-0.256,-0.142,-158.61333,0.848,962,56,
113,House,13047,43,13,FL,200,1,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013.0,0.325,-0.112,-63.00568,0.818,313,31,
113,House,15634,43,27,FL,200,0,1,"ROS-LEHTINEN, Ileana",R000435,1952,,0.245,-0.228,-178.18755,0.82979,955,72,1.0
113,House,20110,43,1,FL,200,0,1,"MILLER, Jefferson B. (Jeff)",M001144,1959,,0.633,0.155,-130.6889,0.874,971,64,
113,House,20111,43,4,FL,200,0,1,"CRENSHAW, Ander",C001045,1944,,0.333,0.337,-105.48282,0.9,999,45,
